ra,dec,class,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z,petroRad_r,extinction_r
205.118381583802,0.0274722483690943,Galaxy,20.8747,19.69033,18.98037,18.58497,18.26726,19.6313,18.45123,17.78724,17.38751,17.22975,3.057512,0.08346715
205.136280362984,1.03406972062975,Galaxy,23.30618,21.68623,20.48298,20.40773,20.40828,23.85489,21.74736,20.58359,20.42125,20.5493,1.200461,0.07269697
205.156863670076,1.3633006658487,Galaxy,21.32664,19.72475,18.68045,18.36337,17.93501,20.06504,18.70922,17.70124,17.26498,16.95832,3.260419,0.06827498
205.061823606137,0.479685283100014,Galaxy,24.2736,22.585,20.75079,19.94517,19.42046,21.93106,22.02153,20.35475,19.51855,19.11317,1.725301,0.08144592
205.073118954282,1.7266729323173,Galaxy,24.43477,21.73109,20.17381,19.63515,19.13268,21.55427,20.15386,18.67868,17.93128,17.49462,4.894353,0.06802674
205.089259298571,0.573603580665331,Quasar,21.32703,20.71133,20.58249,20.47154,20.22908,21.37405,20.74356,20.50821,20.36815,20.18472,1.300651,0.08161901
206.054417822051,0.977850652882704,Galaxy,20.94217,18.64858,17.76307,17.40094,17.08478,19.8955,17.98033,17.07034,16.64458,16.30578,3.277703,0.08844525
204.086460651623,0.878905931219498,Galaxy,24.58765,22.59913,20.72033,19.8791,19.37493,21.60157,21.05185,19.84708,19.16044,18.66457,3.772871,0.06346964
204.115884106445,0.752021995036988,Galaxy,23.29759,22.36025,20.85633,19.88013,19.40686,22.86891,21.85473,20.26733,19.44881,18.7711,2.459317,0.06786725
204.148601346599,0.261171407287825,Star,20.16443,19.02135,19.14447,19.23919,19.28908,20.23069,19.05221,19.21146,19.26571,19.33895,1.215374,0.06861
202.573363445261,1.73439020130971,Galaxy,24.63465,22.51081,20.38155,19.65108,19.80207,27.16872,27.12379,18.53822,17.21191,21.72692,18.02158,0.06983027
204.774232041252,0.410619372053173,Galaxy,25.35168,22.75752,20.88755,20.15167,19.56954,21.37574,21.91815,19.81102,18.8274,18.71823,4.227545,0.07953848
204.779799649442,0.556057190976774,Star,17.46606,16.22483,15.68449,15.46779,15.34695,17.53309,16.26509,15.7378,15.52051,15.41318,1.322883,0.07880725
204.366417308898,1.10969762654133,Quasar,20.27411,20.25378,20.10036,20.00906,20.12502,20.28698,20.20638,20.16301,20.04449,20.28743,1.356504,0.06336835
204.381102433644,1.193634353245,Galaxy,19.85225,18.97394,18.6864,18.45366,18.21687,19.32248,18.11459,17.61886,17.29867,17.08073,3.569617,0.06465281
